OWNER	TABLE_NAME	COLUMN_NAME	DATA_TYPE	DATA_LENGTH	NULLABLE	NUM_DISTINCT	NUM_NULLS	IS_NULL	IS_DIMENSION	Max Distinct
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_ID	NUMBER	22	N	6020	0	TRUE	FALSE	6020
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_VERSION	NUMBER	22	N	1	0	TRUE	TRUE	6020
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_LAST_UPDATED	DATE	7	N	2173	0	TRUE	FALSE	6020
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_LAST_UPDATED_BY	VARCHAR2	250	N	2137	0	TRUE	FALSE	6020
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_LAST_UPDATED_NAME	VARCHAR2	401	N	2115	0	TRUE	FALSE	6020
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_APN_ID	NUMBER	22	N	2165	0	TRUE	FALSE	6020
OASIS3	AAD_APP_ADDITIONAL_DOCS	AAD_DOCUMENT_STORAGE_ID	VARCHAR2	20	Y	6020	0	TRUE	FALSE	6020
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_ID	NUMBER	22	N	10	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_AEA_ID	NUMBER	22	N	8	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_COMPLEX_OLD_YN	CHAR	1	N	1	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_COMPLEX_NEW_YN	CHAR	1	N	2	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_NON_COMPLEX_OLD_YN	CHAR	1	N	2	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_NON_COMPLEX_NEW_YN	CHAR	1	N	2	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_CONSUMER_OLD_YN	CHAR	1	N	2	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_CONSUMER_NEW_YN	CHAR	1	N	2	0	TRUE	FALSE	10
OASIS3	AAH_AUTO_ALLOCATION_HISTORIES	AAH_LAST_UPDATED_BY	VARCHAR2	250	N	1	0	TRUE	FALSE	10
